项目类型,众筹状态,项目编号,项目名称
出版,已成功,15696,《凯叔西游记》史上第一部讲给孩子最全的西游记故事。
出版,已成功,15617,"《间隔年，不只是一次旅行》,“西皮青年”邀你成为联合出品人"
出版,已成功,18767,我不知道会遇见你，真好
出版,已成功,17842,手绘明信片·纪念我们的衢州学院
出版,已成功,16798,【吃货福利】北京手绘素食地图，一网打尽京城素食
出版,已成功,13702,《人生需要揭穿》 丁丁张私人灵感手记，都市青年专属标配
出版,已成功,18178,暖心亲子绘本-《看着你长大-Jasper的小小世界》
出版,已成功,15250,为梦再出发——独立杂志『榕』第5期 预售
出版,已成功,15123,《万象之源--自然数学的哲学原理》(暂名)出版
出版,已成功,16151,"我要你和我一起,《289艺术风尚》招募首批会员"
出版,已成功,18879,IT桔子《2014年度中国互联网创业投资盘点》
出版,已成功,14901,全球首本诗歌涂鸦本《依然》——300页超厚诗歌+空白手札本
出版,已成功,14440,“新蕾杯”首届青春文学新星选拔赛获奖作品出版众筹
出版,已成功,13909,创建世界，超越想象《狗头人之世界创建指南》授权中文版
出版,已成功,14273,《PVCBOT超简单机器人设计与制作》机器人DIY入门教程
出版,已成功,13012,TRPG游戏模组集《初龙志》02期
出版,已成功,13416,40个游戏：第七届天真者的艺术    一本记录“成长”的画册
出版,已成功,12694,南京独立杂志《Solo》Vol.008 “深夜南京”，预定中
出版,已成功,12357,《中國古代妝束復原》紀念畫冊——再現華夏人文風貌
出版,已成功,12331,美貌大王许岑的《看电影学英语》电子书众筹项目
出版,已成功,12215,梦中的莲花之地——《靖藏》创刊号等你来阅！
出版,已成功,11869,首个中学生主办独立文艺杂志《奴子文艺》制作费用筹集
出版,已成功,11554,孩子改变世界·给天空城充满创意的孩子出版一部诗歌作品集
出版,已成功,11241,我的理想国：新文艺复兴
出版,已成功,10813,北斗网2012年度文章精选集——献给北斗五周年
出版,已成功,11887,南京独立杂志《Solo》Vol.007 “我们都有病”，免费预订！
出版,已成功,11002,南京独立杂志《Solo》Vol.006“暑!假”，0元预售！
出版,已成功,10810,豆瓣“休学辞职去旅行”小组《旅行是正经事儿》出书计划
出版,已成功,647,插画师记录《我陪老爸抗癌的日子》
出版,已成功,13181,出版世界上最神秘的书籍
出版,已成功,12024,中国经典动画《天书奇谭》上映三十周年纪念特刊预售
出版,已成功,10758,独立杂志《榕》预售：一起聊聊文学、音乐、旅途和梦想
出版,已成功,470,独立杂志《在路上》世界末日特刊预售
出版,已成功,118,钓鱼岛地图之《钓鱼岛的动植物》
出版,已成功,111,大学生职业规划——学长学姐要对你说的
出版,已成功,112,旅游杂志——追梦《在路上》
