项目类型,众筹状态,项目编号,项目名称,目标金额,实际筹资额
活动,已成功,17055,海绵宝翻身要去远征啦,6000,680
活动,已成功,17122,生命在于折腾，青春在于路上,8000,1040
活动,已成功,18194,远征相随，你我共同fighting！,6000,825
活动,已成功,18400,什么样人生才是够酷？ 总是摆脱自己的舒适区,6000,518
活动,已成功,18362,有了远征，这个夏天注定不平凡,6000,1210
活动,已成功,18402,让青春行走在远征路上,6000,800
活动,已成功,18331,为望而欲动的心而准备,6000,720
活动,已成功,16967,会开画的种子，助力雷励远征,8000,1096
活动,已成功,17830,为自己许下一个誓言般的梦想-----远征，让心在路上,8000,2020
活动,已成功,17387,让乌龟带着你的梦想去远征——为雷励中国筹款,6000,2850
活动,已成功,16972,【雷励远征】去贵州搬砖的一百种姿势,8000,500
活动,已成功,16920,无公益不人生·用我的3分之一带动更大的3分之一,6000,516
活动,已成功,18713,吃货与酒鬼聚会【成都】第一期：四季大厨掌勺的私房菜！,1264,2054
活动,已成功,16928,嘿，我的远征梦里有你~,6000,1230
活动,已成功,17695,我要用一生念念不忘，换现在的一次远征,6000,501
活动,已成功,18384,来自木匠的最脱俗情人节礼物,20000,8281
活动,已成功,18423,吃货与酒鬼新年第一趴： 古巨基也来的香港餐厅【北京】,3900,2860
活动,已成功,18359,用脚步丈量城市——城市飞奔福州赛第二季众筹,1000,2854
活动,已成功,18262,平凡人的演唱会1月歌手飞歌梦想众筹,2020,4128
活动,已成功,17304,当公益遇上远征，青春更美,6000,974
活动,已成功,16777,带上雷励姿态，开启公益之行,8000,1000
活动,已成功,16785,如果干贝不去远征，那跟咸鱼有什么区别？！,6000,5160
活动,已成功,17640,90后女大学生众筹山地车-环华骑行,5000,6564
活动,已成功,16836,有你们，我的远征梦会飞,6000,2575
活动,已成功,16811,以梦为马 趁年轻去远征,6000,818
活动,已成功,17076,在台湾旅行路上的声音,2015,2235
活动,已成功,17262,【疯兔盒子】为了把好吃的零食带给你，我们也是蛮拼的,25570,8336
活动,已成功,17506,Isabella的吃货与酒鬼第八期：白葡萄酒配威士忌，就这么任性,4880,4880
活动,已成功,17297,为梦想而拼——万人魔方筑梦行动,60000,3485
活动,已成功,17084,“我跑一公里，你捐一块钱” 雷励南宁马拉松，以跑会友！,10000,13377
